_id,desc_distrito_local,desc_barrio_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza
7,SAN BLAS-CANILLEJAS ,ROSAS               ,SR,Abierta,Acera
32,SALAMANCA           ,RECOLETOS           ,JURUCHA,Abierta,Acera
33,SALAMANCA           ,GUINDALERA          ,HONTANARES,Abierta,Acera
34,SALAMANCA           ,GUINDALERA          ,BAR MARISQUERIA LUIS,Abierta,Calle peatonal
36,SALAMANCA           ,GUINDALERA          ,SAGAR,Abierta,Calle peatonal
40,SALAMANCA           ,RECOLETOS           ,WAGABOO,Abierta,Acera
41,SALAMANCA           ,RECOLETOS           ,THE JAMES JOYCE IRISH PUB,Abierta,Acera
44,SALAMANCA           ,GUINDALERA          ,HOTEL ABBA MADRID,Abierta,Acera
50,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,LA PLAZA,Abierta,Plaza peatonal
51,SALAMANCA           ,GUINDALERA          ,EL NUEVO RINC?N DE JA?N,Abierta,Acera
52,SALAMANCA           ,GOYA                ,VIENA CAPELLANES,Abierta,Acera
54,VILLAVERDE          ,SAN CRISTOBAL       ,BAR LAS TORRES,Abierta,Acera
56,VILLAVERDE          ,LOS ROSALES         , KEBAB ARMENIA,Abierta,Acera
58,SALAMANCA           ,FUENTE DEL BERRO    ,CAFETERIA PARISIENA,Abierta,Acera
59,SALAMANCA           ,RECOLETOS           ,BAR-RESTAURANTE,Abierta,Acera
60,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,EL RINCON DEL TIO PEPE,Abierta,Acera
63,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,BAR  SAN JULIAN,Abierta,Acera
66,SAN BLAS-CANILLEJAS ,SIMANCAS            ,BAR JOSUE,Abierta,Acera
67,SAN BLAS-CANILLEJAS ,REJAS               ,RESTAURANTE BAR TORRES,Abierta,Acera
68,VILLAVERDE          ,SAN ANDRES          ,BONGO CAFE,Abierta,Acera
69,SALAMANCA           ,RECOLETOS           ,EL ARBOL Y LA TOSTA,Abierta,Acera
72,BARAJAS             ,TIMON               ,BURGER KING,Abierta,Acera
73,VILLA DE VALLECAS   ,ENSANCHE DE VALLECAS,RESTAURANTE 40 & CUATRO,Abierta,Acera
74,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,BAR-RESTAURANTE,Abierta,Calle peatonal
76,VILLAVERDE          ,BUTARQUE            ,CERVECERIA MINERVA,Abierta,Acera
77,VILLAVERDE          ,LOS ROSALES         ,BAR DONDE SIEMPRE,Abierta,Plaza peatonal
78,VILLAVERDE          ,LOS ROSALES         ,LA PARADA ESQUINA,Abierta,Acera
79,VILLAVERDE          ,SAN ANDRES          ,BURGUER CAROVI,Abierta,Acera
80,VILLAVERDE          ,LOS ANGELES         ,A GAIVOTI?A II,Abierta,Acera
81,VILLAVERDE          ,LOS ANGELES         ,PE?A DE FRANCIA,Abierta,Acera
82,VILLAVERDE          ,SAN ANDRES          ,LUCKY,Abierta,Acera
83,VILLAVERDE          ,LOS ANGELES         ,EL KUBO,Abierta,Plaza peatonal
84,VILLAVERDE          ,SAN ANDRES          ,BAR ASTURIAS,Abierta,Plaza peatonal
85,VILLAVERDE          ,LOS ROSALES         ,LA ABUELA,Abierta,Acera
86,VILLAVERDE          ,LOS ANGELES         ,BAR PEMA,Abierta,Acera
87,VILLAVERDE          ,LOS ANGELES         ,CASA MONICA,Abierta,Acera
88,VILLA DE VALLECAS   ,SANTA EUGENIA       ,EL JARDIN DEL BACO,Abierta,Acera
89,VILLA DE VALLECAS   ,SANTA EUGENIA       ,CERVECERIA LA TOMASA,Abierta,Acera
91,VILLA DE VALLECAS   ,SANTA EUGENIA       ,BAR  LA HACIENDA,Abierta,Acera
95,VILLA DE VALLECAS   ,SANTA EUGENIA       ,CERVECERIA LA TORRE,Abierta,Acera
98,VILLA DE VALLECAS   ,SANTA EUGENIA       ,EL JARDIN DE BACO II,Abierta,Acera
101,VILLAVERDE          ,SAN ANDRES          ,"ESTUDIO VILLAVERDE ALTO, SL",Abierta,Calle peatonal
102,VILLAVERDE          ,SAN ANDRES          ,LAS BEGONIAS,Abierta,Acera
103,VILLAVERDE          ,LOS ANGELES         ,BAR CASA CONEL,Abierta,Acera
